CustomerID,CustomerNumber,FirstName,LastName,FullName,Gender,DateOfBirth,Email,PhoneNumber,AddressLine1,AddressLine2,City,StateProvince,PostalCode,Country,CustomerSegment,CustomerCategory,RegistrationDate,PreferredLanguage,PreferredCurrency,LoyaltyProgramID,LoyaltyPoints,MarketingOptIn,EmailOptIn,SMSOptIn,CustomerStatus
1,CUST000001,Sarah,Davis,Sarah Davis,Male,10-06-1986,sarah.davis1@example.com,-8464458,422 Main St,,Hanoi,HN,73497,Germany,Retail,Silver,12-03-2023,German,CNY,LP4129,5419,TRUE,TRUE,FALSE,Inactive
2,CUST000002,Linda,Williams,Linda Williams,Male,21-07-2000,linda.williams2@example.com,-2407892,564 Main St,,Chicago,SH,67908,USA,Corporate,Platinum,30-01-2022,English,EUR,LP4197,9333,TRUE,FALSE,TRUE,Active
3,CUST000003,Sarah,Williams,Sarah Williams,Male,29-09-1960,sarah.williams3@example.com,-2605608,506 Main St,,Shanghai,WA,88988,UK,Corporate,Silver,28-05-2020,Hindi,USD,LP5278,1283,FALSE,TRUE,TRUE,Active
4,CUST000004,Elizabeth,Miller,Elizabeth Miller,Female,07-05-2004,elizabeth.miller4@example.com,-2247117,558 Main St,,Chicago,BE,33405,India,Wholesale,Silver,27-06-2022,English,CNY,LP3886,1198,TRUE,FALSE,FALSE,Inactive
5,CUST000005,John,Jones,John Jones,Male,31-10-1992,john.jones5@example.com,-1766357,278 Main St,,London,IL,26298,China,Corporate,Gold,12-03-2018,Hindi,CNY,LP9641,5324,TRUE,FALSE,TRUE,Inactive
6,CUST000006,Elizabeth,Garcia,Elizabeth Garcia,Male,03-03-1999,elizabeth.garcia6@example.com,-4901718,671 Main St,,Mumbai,TX,52113,Germany,Corporate,Standard,09-06-2023,German,CNY,LP6914,2789,FALSE,FALSE,FALSE,Inactive
7,CUST000007,Richard,Martinez,Richard Martinez,Male,24-06-2008,richard.martinez7@example.com,-1700565,71 Main St,,Berlin,CA,38367,Vietnam,Online,Platinum,09-04-2020,Hindi,CNY,LP4606,7136,FALSE,FALSE,TRUE,Active
8,CUST000008,Jessica,Rodriguez,Jessica Rodriguez,Female,18-10-1965,jessica.rodriguez8@example.com,-8905475,945 Main St,,Berlin,MH,55656,Vietnam,Corporate,Gold,20-04-2018,German,INR,LP8383,8282,TRUE,TRUE,FALSE,Inactive
9,CUST000009,Charles,Martinez,Charles Martinez,Male,20-10-1982,charles.martinez9@example.com,-4001418,400 Main St,,Seattle,CA,91677,UK,Wholesale,Platinum,16-12-2019,Hindi,CNY,LP7485,3597,FALSE,TRUE,TRUE,Active
10,CUST000010,Patricia,Rodriguez,Patricia Rodriguez,Female,17-11-1989,patricia.rodriguez10@example.com,-5730649,447 Main St,,New York,HN,55538,Vietnam,Corporate,Platinum,18-03-2019,Hindi,INR,LP4433,356,FALSE,TRUE,FALSE,Active
11,CUST000011,Karen,Brown,Karen Brown,Male,11-07-1985,karen.brown11@example.com,-9083285,525 Main St,,Seattle,MH,55005,USA,Corporate,Gold,19-07-2021,Chinese,USD,LP7308,1398,FALSE,FALSE,TRUE,Active
12,CUST000012,Patricia,Smith,Patricia Smith,Female,04-08-1977,patricia.smith12@example.com,-7100990,76 Main St,,Seattle,HN,37629,India,Online,Silver,11-03-2022,Chinese,CNY,LP3233,2064,FALSE,FALSE,FALSE,Inactive
13,CUST000013,Thomas,Johnson,Thomas Johnson,Female,03-12-1963,thomas.johnson13@example.com,-7497499,155 Main St,,Chicago,CA,47346,China,Corporate,Silver,09-11-2020,Chinese,USD,LP1225,5436,FALSE,TRUE,FALSE,Active
14,CUST000014,Charles,Davis,Charles Davis,Female,17-09-1960,charles.davis14@example.com,-7859082,195 Main St,,San Francisco,BE,26932,India,Wholesale,Silver,14-01-2021,Hindi,USD,LP5079,5607,FALSE,TRUE,FALSE,Inactive
15,CUST000015,Linda,Garcia,Linda Garcia,Male,05-11-1972,linda.garcia15@example.com,-7221697,214 Main St,,Hanoi,SH,77724,Vietnam,Corporate,Gold,29-07-2021,English,INR,LP4659,5938,TRUE,FALSE,TRUE,Active
16,CUST000016,Robert,Miller,Robert Miller,Female,27-03-2007,robert.miller16@example.com,-3376693,868 Main St,,New York,BE,33697,UK,Retail,Gold,14-11-2023,German,EUR,LP8713,3416,FALSE,FALSE,FALSE,Inactive
17,CUST000017,Mary,Brown,Mary Brown,Male,22-11-1973,mary.brown17@example.com,-7969959,669 Main St,,London,IL,24304,Germany,Wholesale,Silver,25-10-2021,German,CNY,LP1183,3391,FALSE,TRUE,TRUE,Inactive
18,CUST000018,Thomas,Miller,Thomas Miller,Male,16-12-1976,thomas.miller18@example.com,-6436935,823 Main St,,New York,IL,38312,USA,Corporate,Silver,03-03-2022,Chinese,INR,LP6631,7749,TRUE,FALSE,TRUE,Active
19,CUST000019,Patricia,Davis,Patricia Davis,Male,03-08-2009,patricia.davis19@example.com,-2074796,441 Main St,,Hanoi,TX,17174,China,Corporate,Standard,21-01-2024,Chinese,USD,LP2262,2088,FALSE,FALSE,FALSE,Inactive
20,CUST000020,John,Rodriguez,John Rodriguez,Female,10-11-1995,john.rodriguez20@example.com,-6384860,545 Main St,,Pune,CA,73870,UK,Retail,Standard,25-07-2018,English,EUR,LP7777,8248,TRUE,TRUE,FALSE,Inactive
21,CUST000021,Jessica,Johnson,Jessica Johnson,Female,03-01-1961,jessica.johnson21@example.com,-7120431,326 Main St,,Chicago,KA,21768,Vietnam,Wholesale,Gold,19-04-2024,English,INR,LP8221,6977,FALSE,TRUE,TRUE,Active
22,CUST000022,Richard,Davis,Richard Davis,Female,22-03-1962,richard.davis22@example.com,-5513403,789 Main St,,Seattle,TX,97382,USA,Corporate,Standard,29-08-2021,Chinese,EUR,LP7850,5544,TRUE,TRUE,TRUE,Inactive
23,CUST000023,William,Brown,William Brown,Female,02-06-1968,william.brown23@example.com,-4683258,538 Main St,,Seattle,TX,83926,Germany,Retail,Gold,25-12-2020,English,USD,LP8022,9373,TRUE,TRUE,TRUE,Active
24,CUST000024,Thomas,Williams,Thomas Williams,Male,10-03-1987,thomas.williams24@example.com,-3198704,287 Main St,,New York,MH,51879,UK,Online,Platinum,06-06-2019,English,CNY,LP9833,2719,TRUE,TRUE,TRUE,Inactive
25,CUST000025,Susan,Martinez,Susan Martinez,Male,10-08-1960,susan.martinez25@example.com,-8466367,185 Main St,,New York,CA,66955,Vietnam,Corporate,Platinum,05-05-2020,English,EUR,LP7815,5467,FALSE,FALSE,FALSE,Active
26,CUST000026,Charles,Jones,Charles Jones,Male,22-03-1992,charles.jones26@example.com,-4743477,616 Main St,,Pune,SH,72365,UK,Retail,Standard,02-10-2018,Chinese,INR,LP3015,9152,TRUE,TRUE,FALSE,Active
27,CUST000027,Jessica,Brown,Jessica Brown,Male,10-03-2001,jessica.brown27@example.com,-3301988,994 Main St,,New York,NY,52101,Vietnam,Wholesale,Gold,31-01-2019,English,USD,LP2215,7370,TRUE,TRUE,TRUE,Active
28,CUST000028,James,Jones,James Jones,Male,18-03-1977,james.jones28@example.com,-9973211,120 Main St,,Seattle,WA,15483,Germany,Corporate,Standard,26-06-2024,Chinese,CNY,LP5618,6882,FALSE,FALSE,TRUE,Inactive
29,CUST000029,Joseph,Smith,Joseph Smith,Female,01-07-1986,joseph.smith29@example.com,-1963467,358 Main St,,Mumbai,CA,89690,Germany,Retail,Standard,10-01-2018,Chinese,EUR,LP2433,2619,TRUE,TRUE,TRUE,Active
30,CUST000030,Susan,Rodriguez,Susan Rodriguez,Male,20-11-1983,susan.rodriguez30@example.com,-6784155,654 Main St,,Seattle,HN,75899,Germany,Retail,Gold,22-01-2020,Chinese,CNY,LP6769,1852,FALSE,FALSE,FALSE,Active
31,CUST000031,Jessica,Jones,Jessica Jones,Male,30-08-2005,jessica.jones31@example.com,-1347975,842 Main St,,New York,IL,43532,China,Wholesale,Gold,17-07-2024,English,EUR,LP4725,3116,TRUE,FALSE,TRUE,Inactive
32,CUST000032,Karen,Davis,Karen Davis,Female,11-05-1996,karen.davis32@example.com,-3959362,697 Main St,,San Francisco,WA,19850,UK,Wholesale,Silver,29-05-2018,German,USD,LP9268,1020,TRUE,FALSE,FALSE,Inactive
33,CUST000033,Charles,Brown,Charles Brown,Female,28-02-1969,charles.brown33@example.com,-9479644,607 Main St,,Chicago,MH,16973,India,Retail,Silver,14-03-2022,Chinese,USD,LP5121,3704,TRUE,FALSE,TRUE,Inactive
34,CUST000034,Joseph,Williams,Joseph Williams,Male,20-09-1988,joseph.williams34@example.com,-1960796,899 Main St,,Pune,KA,17937,China,Retail,Platinum,17-05-2018,Hindi,USD,LP7683,1258,FALSE,FALSE,FALSE,Active
35,CUST000035,Robert,Miller,Robert Miller,Female,31-01-2013,robert.miller35@example.com,-9871535,340 Main St,,Chicago,MH,57052,Germany,Retail,Platinum,19-04-2024,Hindi,INR,LP8753,4220,TRUE,FALSE,TRUE,Inactive
36,CUST000036,John,Martinez,John Martinez,Male,18-02-1969,john.martinez36@example.com,-9557496,849 Main St,,Mumbai,TX,83087,India,Wholesale,Standard,24-05-2018,German,USD,LP6896,3310,TRUE,TRUE,TRUE,Inactive
37,CUST000037,Robert,Williams,Robert Williams,Female,19-09-1977,robert.williams37@example.com,-8872097,633 Main St,,Mumbai,WA,11703,Germany,Online,Standard,03-04-2018,German,USD,LP3344,3568,TRUE,TRUE,FALSE,Inactive
38,CUST000038,Jennifer,Garcia,Jennifer Garcia,Male,09-01-1998,jennifer.garcia38@example.com,-8238497,275 Main St,,Mumbai,KA,11316,India,Corporate,Platinum,31-12-2018,English,EUR,LP5970,4189,TRUE,FALSE,TRUE,Inactive
39,CUST000039,Mary,Smith,Mary Smith,Female,29-03-2008,mary.smith39@example.com,-3267575,703 Main St,,Seattle,CA,65707,Vietnam,Corporate,Silver,07-04-2022,Hindi,USD,LP2285,7929,TRUE,FALSE,TRUE,Active
40,CUST000040,Michael,Brown,Michael Brown,Female,29-10-1977,michael.brown40@example.com,-2632016,441 Main St,,Shanghai,MH,42648,USA,Retail,Silver,24-11-2019,Chinese,CNY,LP6525,6812,TRUE,TRUE,TRUE,Inactive
41,CUST000041,Jessica,Martinez,Jessica Martinez,Male,01-02-1992,jessica.martinez41@example.com,-3980198,981 Main St,,London,MH,88948,Vietnam,Online,Standard,19-12-2018,Hindi,EUR,LP2357,7106,TRUE,TRUE,TRUE,Active
42,CUST000042,Charles,Davis,Charles Davis,Male,14-09-1975,charles.davis42@example.com,-1597819,963 Main St,,Seattle,IL,47813,China,Online,Standard,06-04-2020,Hindi,INR,LP6932,3282,TRUE,TRUE,TRUE,Inactive
43,CUST000043,Patricia,Garcia,Patricia Garcia,Male,03-08-2014,patricia.garcia43@example.com,-7184557,778 Main St,,New York,WA,12987,Vietnam,Corporate,Silver,24-05-2019,Chinese,USD,LP4742,731,FALSE,TRUE,FALSE,Active
44,CUST000044,Elizabeth,Brown,Elizabeth Brown,Male,27-02-1996,elizabeth.brown44@example.com,-4893642,293 Main St,,Chicago,BE,23919,USA,Wholesale,Standard,18-06-2020,German,EUR,LP4693,1549,FALSE,FALSE,FALSE,Inactive
45,CUST000045,Michael,Rodriguez,Michael Rodriguez,Male,08-06-2000,michael.rodriguez45@example.com,-2915043,572 Main St,,San Francisco,CA,21339,India,Corporate,Silver,16-08-2022,Chinese,INR,LP3756,9540,FALSE,FALSE,FALSE,Inactive
46,CUST000046,Richard,Jones,Richard Jones,Female,13-03-1982,richard.jones46@example.com,-2305037,162 Main St,,Hanoi,BE,31343,Vietnam,Retail,Platinum,10-10-2021,Chinese,USD,LP4875,3972,FALSE,TRUE,TRUE,Active
47,CUST000047,William,Martinez,William Martinez,Female,27-11-1988,william.martinez47@example.com,-7256910,253 Main St,,San Francisco,TX,40717,UK,Corporate,Gold,02-02-2023,German,CNY,LP2631,2352,TRUE,TRUE,FALSE,Active
48,CUST000048,Elizabeth,Miller,Elizabeth Miller,Male,15-09-2012,elizabeth.miller48@example.com,-8729500,986 Main St,,Shanghai,BE,81094,Vietnam,Online,Standard,18-08-2019,Chinese,USD,LP7694,3034,FALSE,FALSE,FALSE,Inactive
49,CUST000049,Linda,Johnson,Linda Johnson,Female,07-01-1988,linda.johnson49@example.com,-2562026,169 Main St,,Chicago,CA,49316,USA,Corporate,Platinum,27-03-2019,Hindi,INR,LP4842,409,FALSE,TRUE,TRUE,Inactive
50,CUST000050,Sarah,Williams,Sarah Williams,Female,31-08-1978,sarah.williams50@example.com,-8187741,103 Main St,,Shanghai,IL,25931,Vietnam,Retail,Silver,25-12-2020,English,INR,LP8871,5870,FALSE,TRUE,FALSE,Inactive
51,CUST000051,Robert,Jones,Robert Jones,Male,30-04-1979,robert.jones51@example.com,-6781407,344 Main St,,Pune,MH,44595,USA,Wholesale,Silver,05-09-2020,Chinese,CNY,LP6629,7094,TRUE,FALSE,TRUE,Active
52,CUST000052,John,Davis,John Davis,Male,12-03-1976,john.davis52@example.com,-7023336,61 Main St,,New York,KA,46397,China,Corporate,Silver,25-12-2018,English,CNY,LP9560,7695,TRUE,FALSE,FALSE,Inactive
53,CUST000053,Richard,Miller,Richard Miller,Female,08-06-1965,richard.miller53@example.com,-7848024,510 Main St,,Mumbai,TX,91536,USA,Corporate,Platinum,01-12-2020,English,INR,LP7088,1500,FALSE,TRUE,TRUE,Inactive
54,CUST000054,Joseph,Garcia,Joseph Garcia,Male,23-01-1963,joseph.garcia54@example.com,-5622290,587 Main St,,Seattle,CA,46850,India,Retail,Standard,28-10-2024,German,CNY,LP3185,6302,FALSE,FALSE,FALSE,Active
55,CUST000055,James,Johnson,James Johnson,Male,21-08-2000,james.johnson55@example.com,-3985205,895 Main St,,New York,BE,63776,India,Wholesale,Silver,16-08-2019,English,USD,LP2076,898,TRUE,FALSE,FALSE,Inactive
56,CUST000056,John,Rodriguez,John Rodriguez,Female,16-12-1985,john.rodriguez56@example.com,-6999854,141 Main St,,New York,IL,49952,Vietnam,Online,Silver,05-05-2019,German,USD,LP5399,5526,FALSE,TRUE,TRUE,Active
57,CUST000057,Barbara,Johnson,Barbara Johnson,Female,02-11-2002,barbara.johnson57@example.com,-5291172,732 Main St,,Chicago,SH,60975,Germany,Retail,Platinum,13-03-2023,Chinese,INR,LP7349,6128,FALSE,FALSE,TRUE,Inactive
58,CUST000058,Charles,Jones,Charles Jones,Male,24-02-1974,charles.jones58@example.com,-7732213,642 Main St,,Berlin,KA,90264,India,Corporate,Gold,24-03-2020,Hindi,CNY,LP7466,5674,FALSE,FALSE,TRUE,Active
59,CUST000059,Elizabeth,Miller,Elizabeth Miller,Male,22-05-2001,elizabeth.miller59@example.com,-9904000,577 Main St,,New York,WA,86380,Germany,Retail,Platinum,19-04-2020,German,INR,LP8941,6930,FALSE,TRUE,TRUE,Active
60,CUST000060,James,Jones,James Jones,Female,20-12-1979,james.jones60@example.com,-3910756,741 Main St,,San Francisco,HN,14157,India,Corporate,Platinum,27-06-2024,Chinese,EUR,LP1234,7330,FALSE,FALSE,FALSE,Active
61,CUST000061,Mary,Garcia,Mary Garcia,Female,14-08-1993,mary.garcia61@example.com,-2224138,877 Main St,,Pune,SH,29333,USA,Corporate,Standard,07-05-2019,English,USD,LP3076,2302,TRUE,TRUE,FALSE,Active
62,CUST000062,Karen,Rodriguez,Karen Rodriguez,Female,19-07-2008,karen.rodriguez62@example.com,-1478577,534 Main St,,Mumbai,NY,16687,UK,Retail,Standard,16-01-2022,Chinese,INR,LP5339,6107,FALSE,FALSE,FALSE,Inactive
63,CUST000063,Barbara,Garcia,Barbara Garcia,Male,13-07-1971,barbara.garcia63@example.com,-6776631,907 Main St,,Pune,IL,58999,China,Corporate,Gold,14-02-2021,Hindi,CNY,LP4284,3524,FALSE,TRUE,TRUE,Active
64,CUST000064,Michael,Martinez,Michael Martinez,Female,28-05-2002,michael.martinez64@example.com,-7782156,384 Main St,,Hanoi,WA,67031,Vietnam,Corporate,Gold,22-01-2021,Hindi,CNY,LP5042,8996,TRUE,FALSE,FALSE,Inactive
65,CUST000065,Sarah,Martinez,Sarah Martinez,Female,04-05-1996,sarah.martinez65@example.com,-5015469,938 Main St,,Hanoi,WA,79761,Vietnam,Online,Gold,15-01-2022,Hindi,CNY,LP1751,5613,TRUE,TRUE,FALSE,Inactive
66,CUST000066,Susan,Rodriguez,Susan Rodriguez,Male,20-10-1979,susan.rodriguez66@example.com,-4275793,890 Main St,,Berlin,IL,68392,India,Corporate,Gold,04-10-2019,Hindi,EUR,LP2541,8420,FALSE,TRUE,FALSE,Inactive
67,CUST000067,John,Smith,John Smith,Male,19-07-1961,john.smith67@example.com,-9399401,926 Main St,,Berlin,NY,71310,Germany,Corporate,Platinum,11-01-2021,Chinese,INR,LP4364,2629,TRUE,FALSE,FALSE,Active
68,CUST000068,Patricia,Rodriguez,Patricia Rodriguez,Female,19-11-1987,patricia.rodriguez68@example.com,-8221522,780 Main St,,Chicago,HN,40307,India,Retail,Gold,13-09-2020,English,CNY,LP4508,3595,FALSE,FALSE,FALSE,Active
69,CUST000069,Thomas,Garcia,Thomas Garcia,Male,17-06-2012,thomas.garcia69@example.com,-3720061,129 Main St,,Pune,BE,17537,China,Retail,Gold,09-05-2022,English,EUR,LP8232,7597,FALSE,FALSE,TRUE,Inactive
70,CUST000070,Thomas,Johnson,Thomas Johnson,Female,19-04-1961,thomas.johnson70@example.com,-3506269,171 Main St,,San Francisco,CA,35406,USA,Online,Gold,22-06-2020,German,USD,LP2443,5634,TRUE,FALSE,TRUE,Inactive
