CustomerID,CustomerNumber,FirstName,LastName,FullName,Gender,DateOfBirth,Email,PhoneNumber,AddressLine1,AddressLine2,City,StateProvince,PostalCode,Country,CustomerSegment,CustomerCategory,RegistrationDate,PreferredLanguage,PreferredCurrency,LoyaltyProgramID,LoyaltyPoints,MarketingOptIn,EmailOptIn,SMSOptIn,CustomerStatus
10001,CUST010001,Linda,Davis,Linda Davis,Female,29-05-2013,linda.davis10001@example.com,-8467761,325 Main St,,San Francisco,BE,43711,Vietnam,Online,Platinum,12-09-2018,English,EUR,LP1351,8440,FALSE,TRUE,FALSE,Inactive
10002,CUST010002,Susan,Smith,Susan Smith,Female,28-01-1973,susan.smith10002@example.com,-3877251,687 Main St,,Mumbai,HN,77907,India,Retail,Silver,15-07-2023,Chinese,EUR,LP3439,7514,TRUE,FALSE,TRUE,Active
10003,CUST010003,Jennifer,Miller,Jennifer Miller,Male,17-11-1981,jennifer.miller10003@example.com,-5222115,418 Main St,,Mumbai,IL,51337,USA,Corporate,Gold,22-06-2018,Hindi,CNY,LP1842,3066,FALSE,FALSE,FALSE,Active
10004,CUST010004,James,Smith,James Smith,Female,19-12-2013,james.smith10004@example.com,-9827353,912 Main St,,Seattle,KA,67467,China,Corporate,Silver,02-01-2021,Hindi,USD,LP8919,5866,TRUE,FALSE,TRUE,Active
10005,CUST010005,John,Rodriguez,John Rodriguez,Male,23-11-1991,john.rodriguez10005@example.com,-9375834,914 Main St,,New York,TX,47850,India,Wholesale,Standard,05-04-2022,English,EUR,LP6480,1505,TRUE,TRUE,TRUE,Active
10006,CUST010006,Michael,Williams,Michael Williams,Male,08-12-1969,michael.williams10006@example.com,-8561946,110 Main St,,San Francisco,BE,91404,India,Online,Platinum,01-10-2022,German,EUR,LP2685,1692,FALSE,TRUE,TRUE,Active
10007,CUST010007,Richard,Davis,Richard Davis,Male,21-06-1968,richard.davis10007@example.com,-3541066,947 Main St,,New York,IL,77500,India,Wholesale,Gold,25-12-2018,Chinese,USD,LP1945,10000,FALSE,TRUE,FALSE,Inactive
10008,CUST010008,Susan,Johnson,Susan Johnson,Male,22-09-1965,susan.johnson10008@example.com,-2963679,696 Main St,,London,KA,55347,China,Corporate,Standard,21-11-2023,English,INR,LP2731,6123,FALSE,FALSE,FALSE,Active
10009,CUST010009,William,Jones,William Jones,Female,08-08-1978,william.jones10009@example.com,-2075320,997 Main St,,Shanghai,MH,65908,Vietnam,Corporate,Gold,14-05-2019,English,EUR,LP5523,680,FALSE,TRUE,TRUE,Active
10010,CUST010010,William,Jones,William Jones,Male,26-06-2011,william.jones10010@example.com,-8906869,439 Main St,,Shanghai,WA,64251,China,Retail,Gold,28-12-2022,Chinese,USD,LP8812,8245,TRUE,TRUE,FALSE,Active
10011,CUST010011,Robert,Martinez,Robert Martinez,Female,15-07-1961,robert.martinez10011@example.com,-6075251,729 Main St,,Berlin,BE,13885,UK,Wholesale,Platinum,01-04-2024,Chinese,CNY,LP2154,9535,TRUE,TRUE,TRUE,Active
10012,CUST010012,Michael,Garcia,Michael Garcia,Male,10-01-2010,michael.garcia10012@example.com,-8441211,834 Main St,,San Francisco,BE,40182,Germany,Retail,Standard,11-10-2018,English,USD,LP2323,3869,FALSE,TRUE,TRUE,Active
10013,CUST010013,Richard,Brown,Richard Brown,Female,18-05-2005,richard.brown10013@example.com,-8429448,841 Main St,,London,BE,43308,Germany,Wholesale,Silver,11-04-2019,German,EUR,LP8297,1265,FALSE,FALSE,FALSE,Active
